Location,Fuel Type,bt,km,Transmission,ownerNo,oem,model,modelYear,Displacement,Insurance Validity,No of Cylinder,Color,Values per Cylinder,Engine Type,Seats,Mileage_num,Torque_num,price_num,Power_num,Location_encode,Fuel Type_encode,bt_encode,Transmission_encode,oem_encode,model_encode,Insurance Validity_encode,Color_encode,Engine Type_encode
Bangalore,Petrol,Hatchback,120000,Manual,3,Maruti,Maruti Celerio,2015,998,Third Party insurance,3.0,White,4.0,K10B Engine,5,23.1,90.0,1.3862943611198906,67.04,0,4,2,1,19,140,5,129,264
Bangalore,Petrol,SUV,32706,Manual,2,Ford,Ford Ecosport,2018,1497,Comprehensive,3.0,White,4.0,Ti-VCT Petrol Engine,5,17.0,150.0,2.0930978681273213,121.31,0,4,7,1,6,45,2,129,360
Bangalore,Petrol,Hatchback,11949,Manual,1,Tata,Tata Tiago,2018,1199,Comprehensive,3.0,Red,4.0,Revotron Engine,5,23.84,114.0,1.766441661243765,84.0,0,4,2,1,27,238,2,105,322
Bangalore,Petrol,Sedan,17794,Manual,1,Hyundai,Hyundai Xcent,2014,1197,Comprehensive,4.0,Others,4.0,Kappa VTVT Petrol Engine,5,19.1,113.75,1.5303947050936475,81.86,0,4,8,1,8,79,2,83,291
Bangalore,Diesel,SUV,60000,Manual,1,Maruti,Maruti SX4 S Cross,2015,1248,Third Party insurance,4.0,Gray,4.0,DDiS 200 Diesel Engine,5,23.65,200.0,2.066862759472976,88.5,0,1,7,1,19,155,5,53,191
Bangalore,Diesel,SUV,20000,Manual,1,Jeep,Jeep Compass,2020,1956,Third Party insurance,4.0,Others,4.0,2.0-Litre 4-Cyl Multijet II Engine,5,17.1,350.0,2.9444389791664403,170.0,0,1,7,1,11,92,5,83,112
Bangalore,Petrol,Hatchback,37772,Manual,1,Datsun,Datsun GO,2017,1198,Comprehensive,3.0,Grey,4.0,Petrol Engine,5,20.63,104.0,1.2383742310432684,67.0,0,4,2,1,4,32,2,55,311
Bangalore,Petrol,Sedan,37000,Automatic,1,Maruti,Maruti Ciaz,2018,1462,Comprehensive,4.0,Maroon,4.0,k15B VVT Engine,5,20.28,138.0,2.2617630984737906,103.25,0,4,8,0,19,142,2,62,439
Bangalore,Petrol,Hatchback,11949,Manual,1,Tata,Tata Tiago,2017,1199,Comprehensive,3.0,Red,4.0,Revotron Engine,5,23.84,114.0,1.766441661243765,84.0,0,4,2,1,27,238,2,105,322
Bangalore,Petrol,Hatchback,50000,Manual,1,Maruti,Maruti Baleno,2018,1197,Third Party insurance,4.0,Red,4.0,VVT Petrol Engine,5,21.4,115.0,1.9315214116032138,83.1,0,4,2,1,19,137,5,105,415
Bangalore,Petrol,Hatchback,24887,Automatic,1,Hyundai,Hyundai Grand i10,2019,1197,Third Party insurance,4.0,Orange,4.0,Kappa VTVT Petrol Engine,5,18.9,113.75,1.9198594718553708,81.86,0,4,2,0,8,70,5,80,291
Bangalore,Petrol,Hatchback,23000,Automatic,1,Honda,Honda Jazz,2018,1199,Comprehensive,4.0,Grey,4.0,i-VTEC Petrol Engine,5,18.2,110.0,2.1102132003465894,88.7,0,4,2,0,7,59,2,55,436
Bangalore,Petrol,Hatchback,48928,Automatic,1,Tata,Tata Tiago,2018,1199,Comprehensive,3.0,Red,4.0,Revotron Engine,5,23.84,114.0,1.7833912195575383,83.83,0,4,2,0,27,238,2,105,322
Bangalore,Diesel,SUV,108862,Manual,3,Mahindra,Mahindra XUV500,2014,2179,Comprehensive,4.0,Silver,4.0,mHawk Diesel Engine,7,15.1,330.0,1.9315214116032138,140.0,0,1,7,1,16,129,2,108,455
Bangalore,Diesel,SUV,80000,Manual,1,Jeep,Jeep Compass,2018,1956,Third Party insurance,4.0,Others,4.0,2.0-Litre 4-Cyl Multijet II Engine,5,17.1,350.0,2.6026896854443837,170.0,0,1,7,1,11,92,5,83,112
Bangalore,Diesel,Hatchback,65376,Manual,2,Hyundai,Hyundai i20,2014,1396,Comprehensive,4.0,Blue,4.0,U2 CRDI Diesel Engine,5,21.27,219.6,1.6505798557652755,88.76,0,1,2,1,8,81,2,9,380
Bangalore,Petrol,SUV,10000,Manual,1,Tata,Tata Nexon,2022,1199,Third Party insurance,3.0,Others,4.0,1.2l Turbocharged Revotron Engine,5,17.33,170.0,2.307572634505085,118.35,0,4,7,1,27,233,5,83,56
Bangalore,Petrol,Sedan,67000,Manual,2,Honda,Honda City,2016,1497,Comprehensive,4.0,Brown,4.0,i VTEC Engine,5,17.8,145.0,2.0476928433652555,117.3,0,4,8,1,7,56,2,14,429
Bangalore,Diesel,Sedan,100000,Automatic,3,BMW,BMW 5 Series,2011,1995,Third Party insurance,4.0,White,4.0,In-Line Engine,5,18.48,35.7,3.091042453358316,177.0,0,1,8,0,1,12,5,129,249
Bangalore,Petrol,Hatchback,18083,Manual,1,Maruti,Maruti Swift,2016,1197,Comprehensive,4.0,Silver,4.0,K Series Dual jet,5,22.38,113.0,1.7613002617433464,88.5,0,4,2,1,19,156,2,108,258
Bangalore,Petrol,SUV,30000,Manual,1,Renault,Renault Duster,2020,1498,Third Party insurance,4.0,Others,4.0,1.5L Petrol,5,16.42,142.0,2.388762789235098,104.55,0,4,7,1,25,204,5,83,85
Bangalore,Petrol,Hatchback,57634,Manual,2,Tata,Tata Tiago,2016,1199,Comprehensive,3.0,Silver,4.0,Revotron Engine,5,23.84,114.0,1.5195132049061133,84.0,0,4,2,1,27,238,2,108,322
Bangalore,Petrol,Sedan,50000,Automatic,2,Mercedes-Benz,Mercedes-Benz S-Class,2016,4663,Third Party insurance,8.0,Others,4.0,V-Type Petrol Engine,5,7.81,700.0,3.8918202981106265,453.26,0,4,8,0,20,182,5,83,397
Bangalore,Petrol,Sedan,110000,Manual,1,Honda,Honda City,2015,1497,Third Party insurance,4.0,Others,4.0,i VTEC Engine,5,17.4,145.0,1.7047480922384253,117.3,0,4,8,1,7,56,5,83,429
Bangalore,Petrol,Hatchback,23447,Automatic,1,Hyundai,Hyundai Santro,2018,1086,Comprehensive,4.0,Yellow,3.0,1.1 litre Petrol Engine,5,20.3,99.0,1.7404661748405046,68.0,0,4,2,0,8,73,2,131,29
Bangalore,LPG,Hatchback,30000,Manual,2,Hyundai,Hyundai Santro Xing,2009,1086,Third Party insurance,3.0,Others,4.0,Bifuel Engine,5,13.45,96.1,0.7884573603642703,62.1,0,3,2,1,8,74,5,83,165
Bangalore,Petrol,Sedan,33000,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2017,1991,Comprehensive,4.0,White,4.0,In-Line Petrol Engine,5,15.0,300.0,3.724487881581304,194.4,0,4,8,0,20,172,2,129,251
Bangalore,Diesel,SUV,87667,Manual,2,Mahindra,Mahindra XUV500,2014,2179,Third Party,4.0,Black,4.0,mHawk Diesel Engine,7,15.1,330.0,2.152924318439639,140.0,0,1,7,1,16,129,4,8,455
Bangalore,Diesel,Sedan,40000,Automatic,2,Audi,Audi A4,2016,1968,Third Party insurance,4.0,Others,4.0,TDI Diesel Engine,5,17.11,380.0,2.8820035082256483,174.33,0,1,8,0,0,2,5,83,346
Bangalore,Diesel,SUV,79012,Manual,2,Mahindra,Mahindra XUV500,2014,2179,Comprehensive,4.0,Silver,4.0,mHawk Diesel Engine,7,15.1,330.0,2.0831845279586703,140.0,0,1,7,1,16,129,2,108,455
Bangalore,Diesel,SUV,31344,Manual,1,Jeep,Jeep Compass,2021,1956,Comprehensive,4.0,Black,4.0,2.0L Multijet Diesel,5,17.1,350.0,3.2445435716167785,167.67,0,1,7,1,11,92,2,8,117
Bangalore,Petrol,Sedan,50000,Manual,1,Hyundai,Hyundai Xcent,2018,1197,Third Party insurance,4.0,Others,4.0,1.2L Kappa Dual VTVT Petrol,5,20.14,113.75,1.9080599249242156,81.86,0,4,8,1,8,79,5,83,48
Bangalore,Petrol,Hatchback,12434,Manual,1,Maruti,Maruti Wagon R,2015,998,Comprehensive,3.0,Brown,4.0,K10B Petrol Engine,5,20.51,90.0,1.2499017362143359,67.04,0,4,2,1,19,161,2,14,266
Bangalore,Petrol,MUV,60000,Manual,2,Maruti,Maruti Ertiga,2019,1462,Third Party insurance,4.0,Others,4.0,K15 Smart Hybrid,7,19.34,138.0,2.3513752571634776,103.0,0,4,4,1,19,144,5,83,271
Bangalore,Diesel,Sedan,12000,Automatic,1,Mercedes-Benz,Mercedes-Benz C-Class,2019,1950,Comprehensive,4.0,White,4.0,In-Line Engine,5,12.6,400.0,3.7898553714539385,194.0,0,1,8,0,20,169,2,129,249
Bangalore,Petrol,Hatchback,40987,Manual,2,Maruti,Maruti Wagon R,2015,998,Comprehensive,3.0,White,4.0,K10B Petrol Engine,5,20.51,90.0,1.4011829736136412,67.04,0,4,2,1,19,161,2,129,266
Bangalore,Petrol,Sedan,18157,Automatic,1,BMW,BMW 5 Series,2020,1998,Zero Dep,4.0,Blue,4.0,TwinPower Turbo Inline 4 Cylinder Engine,5,15.56,350.0,3.9049983904911816,248.08,0,4,8,0,1,12,6,9,376
Bangalore,Diesel,SUV,120000,Manual,3,Toyota,Toyota Fortuner,2011,2982,Third Party insurance,4.0,Others,4.0,4 Cylinders In-line,7,11.5,343.0,2.3978952727983707,171.0,0,1,7,1,28,248,5,83,155
Bangalore,Petrol,Hatchback,89667,Manual,1,Hyundai,Hyundai i20,2016,1197,Comprehensive,4.0,White,4.0,Kappa VTVT Petrol Engine,5,18.6,114.7,1.7817091333745536,81.83,0,4,2,1,8,81,2,129,291
Bangalore,Diesel,Hatchback,120000,Manual,1,Hyundai,Hyundai i20,2017,1396,Third Party insurance,4.0,Others,4.0,U2 CRDI Diesel Engine,5,22.54,219.7,1.9600947840472698,88.73,0,1,2,1,8,81,5,83,380
Bangalore,Petrol,Hatchback,56997,Manual,1,Maruti,Maruti Baleno,2017,1197,Zero Dep,4.0,Blue,4.0,VVT Petrol Engine,5,21.4,115.0,1.9344157696295783,83.1,0,4,2,1,19,137,6,9,415
Bangalore,Petrol,Sedan,120000,Manual,1,Hyundai,Hyundai Elantra,2013,1797,Third Party insurance,4.0,Others,4.0,Dual VTVT Petrol Engine,5,16.3,177.5,1.8718021769015913,147.5,0,4,8,1,8,68,5,83,214
Bangalore,Diesel,Sedan,59000,Automatic,1,Audi,Audi A6,2015,1968,Third Party insurance,4.0,White,4.0,In Line Diesel Engine,5,18.53,400.0,3.039749158970765,187.74,0,1,8,0,0,3,5,129,238
Bangalore,Petrol,Hatchback,18835,Manual,1,Maruti,Maruti Alto 800,2021,796,Zero Dep,3.0,Silver,4.0,F8D Petrol Engine,5,22.05,69.0,1.4134230285081433,47.33,0,4,2,1,19,135,6,108,222
Bangalore,Diesel,SUV,120000,Manual,2,Mahindra,Mahindra Scorpio,2010,2179,Third Party insurance,4.0,Gray,4.0,mHawk CRDe Engine,7,12.05,290.0,1.8718021769015913,120.0,0,1,7,1,16,122,5,53,453
Bangalore,Petrol,Hatchback,40000,Automatic,1,Mini,Mini 3 DOOR,2016,1998,Comprehensive,4.0,White,4.0,Petrol Engine,4,17.33,280.0,3.6041382256588457,189.08,0,4,2,0,21,184,2,129,311
Bangalore,Petrol,Hatchback,60932,Manual,1,Tata,Tata Tiago,2019,1199,Comprehensive,3.0,Red,4.0,Revotron Engine,5,23.84,114.0,1.8082887711792655,83.83,0,4,2,1,27,238,2,105,322
Bangalore,Petrol,SUV,33539,Automatic,2,Kia,Kia Seltos,2020,1353,Comprehensive,4.0,White,4.0,Smartstream G1.4,5,16.5,242.0,2.8183982582710754,138.08,0,4,7,0,12,97,2,129,338
Bangalore,Petrol,Hatchback,66837,Manual,2,Tata,Tata Tiago,2018,1199,Comprehensive,3.0,Brown,4.0,Revotron Engine,5,23.84,114.0,1.667706820558076,84.0,0,4,2,1,27,238,2,14,322
Bangalore,Petrol,Hatchback,60000,Manual,2,Maruti,Maruti Alto,2008,796,Third Party insurance,3.0,Others,4.0,In-Line Engine,5,19.7,62.0,0.9162907318741551,46.3,0,4,2,1,19,134,5,83,249
Bangalore,Petrol,Hatchback,44285,Manual,1,Hyundai,Hyundai i20,2019,1197,Third Party insurance,4.0,Grey,4.0,Kappa VTVT Petrol Engine,5,18.6,117.0,1.9671123567059163,81.86,0,4,2,1,8,81,5,55,291
Bangalore,Diesel,SUV,100000,Automatic,2,Mercedes-Benz,Mercedes-Benz GL-Class,2014,2987,Third Party insurance,6.0,Others,4.0,V-Type Diesel Engine,7,11.3,619.0,3.5553480614894135,254.8,0,1,7,0,20,174,5,83,393
Bangalore,Diesel,SUV,25000,Automatic,1,Tata,Tata New Safari,2021,1956,Comprehensive,4.0,White,4.0,Kryotec 2.0 L Turbocharged Engine,6,14.08,350.0,3.1135153092103742,167.67,0,1,7,0,27,232,2,129,292
Bangalore,Petrol,Hatchback,36735,Manual,1,Hyundai,Hyundai Grand i10,2018,1197,Comprehensive,4.0,Blue,4.0,Kappa VTVT Petrol Engine,5,18.9,113.75,1.8325814637483102,81.86,0,4,2,1,8,70,2,9,291
Bangalore,Diesel,SUV,79000,Automatic,1,Audi,Audi Q7,2015,2967,Comprehensive,6.0,White,4.0,V-Type Diesel Engine,7,12.07,550.0,3.2939832973550063,241.4,0,1,7,0,0,7,2,129,393
Bangalore,Diesel,SUV,120000,Manual,2,Mahindra,Mahindra Scorpio,2010,2179,Third Party insurance,4.0,Gray,4.0,mHawk CRDe Engine,8,12.05,290.0,1.8718021769015913,120.0,0,1,7,1,16,122,5,53,453
Bangalore,Petrol,Hatchback,10000,Automatic,1,Renault,Renault KWID,2022,999,Third Party insurance,3.0,Others,4.0,Petrol Engine,5,22.0,91.0,1.7047480922384253,67.0,0,4,2,0,25,206,5,83,311
Bangalore,Diesel,SUV,53645,Manual,1,Tata,Tata Nexon,2018,1497,Comprehensive,4.0,White,4.0,"Revotorq, 1.5L Turbocharged engine",5,21.5,260.0,2.1102132003465894,108.5,0,1,7,1,27,233,2,129,319
Bangalore,Petrol,Hatchback,100000,Manual,2,Hyundai,Hyundai Getz,2006,1341,Third Party insurance,4.0,Others,3.0,In-Line Engine,5,15.3,115.0,0.7884573603642703,83.0,0,4,2,1,8,69,5,83,249
Bangalore,Petrol,Hatchback,53982,Automatic,1,Maruti,Maruti Celerio,2014,998,Comprehensive,3.0,Others,4.0,K10C,5,26.68,89.0,1.4539530095937054,65.71,0,4,2,0,19,140,2,83,267
Bangalore,Diesel,Sedan,110000,Manual,1,Skoda,Skoda Rapid,2014,1498,Third Party insurance,4.0,Black,4.0,Diesel Engine,5,21.14,250.0,1.9387416595767009,103.52,0,1,8,1,26,217,5,8,209
Bangalore,Petrol,SUV,37741,Manual,2,Ford,Ford Ecosport,2019,1496,Third Party insurance,3.0,White,4.0,Ti-VCT Petrol Engine,5,15.9,149.0,2.2300144001592104,120.69,0,4,7,1,6,45,5,129,360
Bangalore,Petrol,Hatchback,17367,Manual,1,Maruti,Maruti Alto 800,2021,796,Comprehensive,3.0,Silver,4.0,F8D Petrol Engine,5,22.05,69.0,1.5151272329628591,47.33,0,4,2,1,19,135,2,108,222
Bangalore,Diesel,SUV,94000,Manual,1,Hyundai,Hyundai Creta,2017,1582,Comprehensive,4.0,Grey,4.0,U2 CRDI VGT Engine,5,19.67,259.9,2.4807312783775197,126.2,0,1,7,1,8,66,2,55,383
Bangalore,Diesel,SUV,33700,Automatic,1,Tata,Tata Harrier,2021,1956,Comprehensive,4.0,Grey,4.0,Kryotec 2.0 L Turbocharged Engine,5,14.6,350.0,3.079613757534693,167.67,0,1,7,0,27,224,2,55,292
Bangalore,Petrol,Hatchback,54601,Manual,3,Maruti,Maruti Swift,2014,1197,Comprehensive,4.0,White,4.0,K Series Dual jet,5,22.38,113.0,1.4861396960896067,88.5,0,4,2,1,19,156,2,129,258
Bangalore,Diesel,Hatchback,110000,Manual,1,Maruti,Maruti Swift,2018,1248,Third Party insurance,4.0,Others,4.0,DDiS 190 Engine,5,28.4,190.0,1.9315214116032138,74.0,0,1,2,1,19,156,5,83,190
Bangalore,Petrol,Hatchback,64000,Manual,2,Maruti,Maruti Celerio,2017,998,Third Party,3.0,Red,4.0,K10B Engine,5,23.1,90.0,1.6094379124341003,67.04,0,4,2,1,19,140,4,105,264
Bangalore,Diesel,Sedan,40525,Automatic,1,BMW,BMW 3 Series GT,2016,1995,Comprehensive,4.0,White,4.0,TwinPower Turbo 4-Cylinder Diesel Engine,5,21.76,400.0,3.5248888540047054,188.0,0,1,8,0,1,10,2,129,371
Bangalore,Diesel,Sedan,100000,Manual,1,Maruti,Maruti Ciaz,2015,1248,Third Party insurance,4.0,White,4.0,DDIS 200 Engine,5,26.21,200.0,1.8718021769015913,88.5,0,1,8,1,19,142,5,129,186
Bangalore,Petrol,Hatchback,44154,Automatic,2,Honda,Honda Jazz,2016,1199,Comprehensive,4.0,White,4.0,i-VTEC Petrol Engine,5,19.0,110.0,1.6808279085207734,88.7,0,4,2,0,7,59,2,129,436
Bangalore,Diesel,MUV,70000,Manual,1,Renault,Renault Lodgy,2016,1461,Third Party insurance,4.0,White,4.0,dCI Engine,7,19.98,245.0,2.0149030205422647,108.5,0,1,4,1,25,208,5,129,421
Bangalore,Petrol,Sedan,79000,Automatic,1,Skoda,Skoda Octavia,2018,1798,Comprehensive,4.0,White,4.0,1.8TSI Petrol Engine,5,15.1,250.0,2.884800712846709,178.0,0,4,8,0,26,216,2,129,97
Bangalore,Petrol,Hatchback,68039,Manual,2,Tata,Tata Tiago,2017,1199,Third Party insurance,3.0,Orange,4.0,Revotron Engine,5,23.84,114.0,1.5432981099295553,84.0,0,4,2,1,27,238,5,80,322
Bangalore,Petrol,Hatchback,60000,Manual,2,Maruti,Maruti Ritz,2014,1197,Third Party insurance,4.0,Silver,4.0,K Series Petrol Engine,5,18.5,114.0,1.4350845252893227,85.8,0,4,2,1,19,152,5,108,260
Bangalore,Petrol,Hatchback,10000,Manual,1,Hyundai,Hyundai i20,2021,998,Third Party insurance,3.0,Others,4.0,1.0 l Turbo GDi petrol,5,20.0,171.62,2.2192034840549946,118.36,0,4,2,1,8,81,5,83,19
Bangalore,Petrol,Sedan,49873,Manual,1,Honda,Honda City,2013,1497,Third Party,4.0,Yellow,4.0,SOHC i-VTEC,5,16.8,146.0,1.673351238177753,116.3,0,4,8,1,7,56,4,131,332
Bangalore,Petrol,Hatchback,90000,Automatic,3,Volkswagen,Volkswagen Polo,2013,1197,Third Party insurance,4.0,Others,4.0,TSi Petrol Engine ,5,17.2,175.0,2.1400661634962708,103.6,0,4,2,0,29,260,5,83,359
Bangalore,Diesel,Sedan,48960,Manual,2,Skoda,Skoda Rapid,2017,1498,Third Party insurance,4.0,Silver,4.0,Diesel Engine,5,21.13,250.0,2.0162354657760435,108.6,0,1,8,1,26,217,5,108,209
Bangalore,Diesel,Hatchback,70000,Manual,2,Hyundai,Hyundai Grand i10,2014,1120,Third Party insurance,3.0,Others,4.0,U2 CRDi  Diesel Engine,5,24.0,160.0,1.355835153635182,70.0,0,1,2,1,8,70,5,83,384
Bangalore,Petrol,Hatchback,68000,Manual,2,Hyundai,Hyundai i20,2013,1197,Comprehensive,4.0,Silver,4.0,Kappa VTVT Petrol Engine,5,18.5,113.7,1.589235205116581,82.85,0,4,2,1,8,81,2,108,291
Bangalore,Diesel,SUV,23017,Manual,1,Mahindra,Mahindra KUV 100,2016,1198,Third Party,3.0,Orange,4.0,mFALCON D75 Engine,6,25.32,190.0,1.5973653311998313,77.0,0,1,7,1,16,117,4,80,443
Bangalore,Diesel,Hatchback,83000,Manual,2,Hyundai,Hyundai i20,2013,1396,Comprehensive,4.0,Brown,4.0,U2 CRDI Diesel Engine,5,21.27,219.6,1.6582280766035324,88.76,0,1,2,1,8,81,2,14,380
Bangalore,Diesel,SUV,92000,Automatic,2,BMW,BMW X3,2016,1995,Comprehensive,4.0,White,4.0,2.0l 4Cylinder twin turbo,5,16.55,400.0,3.3638415951183864,187.74,0,1,7,0,1,16,2,129,126
Bangalore,Petrol,Hatchback,62139,Manual,1,Maruti,Maruti Wagon R,2018,998,Comprehensive,3.0,Red,4.0,K10B Petrol Engine,5,20.51,90.0,1.7047480922384253,67.04,0,4,2,1,19,161,2,105,266
Bangalore,LPG,Hatchback,74000,Manual,1,Hyundai,Hyundai i10,2013,1086,Comprehensive,4.0,Grey,3.0,IRDE2 Engine,5,19.2,99.04,1.2947271675944,68.05,0,3,2,1,8,80,2,55,236
Bangalore,Petrol,Hatchback,26500,Automatic,2,Renault,Renault KWID,2016,999,Comprehensive,3.0,Red,4.0,Petrol Engine,5,24.04,91.0,1.4350845252893227,67.0,0,4,2,0,25,206,2,105,311
Bangalore,Diesel,Sedan,81716,Automatic,1,Volvo,Volvo S60,2017,1969,Comprehensive,4.0,Silver,4.0,Turbo Diesel Engine,5,27.03,400.0,2.9418039315284354,190.0,0,1,8,0,30,268,2,108,362
Bangalore,Diesel,Sedan,24000,Automatic,2,Mercedes-Benz,Mercedes-Benz E-Class,2018,2987,Comprehensive,6.0,White,4.0,V6 Diesel Engine,5,17.0,620.0,4.092676505121403,254.8,0,1,8,0,20,172,2,129,399
Bangalore,Petrol,SUV,10000,Automatic,1,Mahindra,Mahindra XUV300,2022,1197,Third Party insurance,3.0,White,4.0,1.2L Turbo Petrol,5,17.0,200.0,2.3513752571634776,108.6,0,4,7,0,16,128,5,129,53
Bangalore,Petrol,SUV,18000,Automatic,1,MG,MG Hector Plus,2021,1451,Comprehensive,4.0,Black,4.0,1.5L Turbocharged Intercooled,6,16.56,250.0,3.0325462466767075,141.0,0,4,7,0,15,112,2,8,92
Bangalore,Petrol,Hatchback,38197,Manual,1,Honda,Honda Brio,2013,1198,Third Party,4.0,Others,4.0,i-VTEC Engine,5,19.4,109.0,1.3711807233098425,86.8,0,4,2,1,7,54,4,83,435
Bangalore,Petrol,Hatchback,23000,Automatic,2,Maruti,Maruti Baleno,2017,1197,Comprehensive,4.0,Grey,4.0,1.2L VVT Engine,5,19.56,113.0,1.9810014688665833,81.8,0,4,2,0,19,137,2,55,55
Bangalore,Petrol,Hatchback,50000,Manual,1,Maruti,Maruti Alto K10,2013,998,Third Party insurance,3.0,Red,4.0,K Series Petrol Engine,5,20.92,90.0,0.8754687373538999,67.1,0,4,2,1,19,136,5,105,260
Bangalore,Petrol,SUV,10000,Automatic,1,Renault,Renault Kiger,2022,999,Third Party insurance,3.0,Others,4.0,1.0L energy,5,19.03,96.0,2.122261538862764,71.01,0,4,7,0,25,207,5,83,26
Bangalore,Petrol,Hatchback,19000,Manual,1,Hyundai,Hyundai Grand i10,2019,1197,Third Party insurance,4.0,Blue,4.0,Kappa VTVT Petrol Engine,5,18.9,113.75,1.9387416595767009,81.86,0,4,2,1,8,70,5,9,291
Bangalore,Petrol,SUV,14000,Automatic,1,Kia,Kia Seltos,2020,1353,Comprehensive,4.0,White,4.0,Smartstream G1.4,5,16.5,242.0,2.847812143477369,138.08,0,4,7,0,12,97,2,129,338
Bangalore,Petrol,Hatchback,29268,Manual,1,Hyundai,Hyundai EON,2014,814,Comprehensive,3.0,White,3.0,Petrol Engine,5,21.1,74.5,1.1939224684724346,55.2,0,4,2,1,8,67,2,129,311
Bangalore,Petrol,Sedan,20000,Automatic,1,Volkswagen,Volkswagen Vento,2019,1197,Third Party insurance,4.0,Others,4.0,TSI Petrol Engine,5,18.19,175.0,2.2925347571405443,103.2,0,4,8,0,29,265,5,83,357
Bangalore,Petrol,Sedan,30000,Manual,1,Toyota,Toyota Yaris,2018,1496,Third Party insurance,4.0,Others,4.0,1.5 Dual VVT-i Engine,5,17.1,140.0,2.0149030205422647,105.5,0,4,8,1,28,255,5,83,66
Bangalore,Petrol,SUV,7100,Automatic,1,Hyundai,Hyundai Alcazar,2022,1999,Comprehensive,4.0,White,4.0,2.0 l petrol MPi engine,6,14.2,191.0,3.0363942552728806,156.9,0,4,7,0,8,64,2,129,110
Bangalore,Petrol,Hatchback,43679,Manual,1,Hyundai,Hyundai i10,2010,1086,Comprehensive,4.0,Silver,3.0,IRDE2 Engine,5,19.81,99.04,0.9969486348916096,68.05,0,4,2,1,8,80,2,108,236
Bangalore,Petrol,SUV,40000,Automatic,1,Hyundai,Hyundai Creta,2018,1591,Third Party insurance,4.0,Others,4.0,VTVT Petrol Engine,5,14.8,151.0,2.5494451709255714,121.3,0,4,7,0,8,66,5,83,410
Bangalore,Diesel,Hatchback,40562,Manual,1,Hyundai,Hyundai i20,2012,1396,Third Party,4.0,Red,4.0,U2 CRDi Diesel Engine ,5,22.54,219.6,1.472472057360943,88.76,0,1,2,1,8,81,4,105,386
Bangalore,Diesel,SUV,58600,Automatic,1,Mahindra,Mahindra XUV500,2016,2179,Third Party insurance,4.0,Silver,4.0,mHawk Diesel Engine,7,16.0,330.0,2.6026896854443837,140.0,0,1,7,0,16,129,5,108,455
Bangalore,Petrol,SUV,42050,Automatic,1,Volkswagen,Volkswagen T-Roc,2020,1498,Comprehensive,4.0,White,4.0,1.5 L TSI EVO with ACT,5,18.4,250.0,3.1023420086122493,147.94,0,4,7,0,29,261,2,129,70
Bangalore,Petrol,Hatchback,65017,Automatic,1,Maruti,Maruti Celerio,2015,998,2,3.0,White,4.0,K10B Engine,5,23.1,90.0,1.55814461804655,67.04,0,4,2,0,19,140,1,129,264
Bangalore,Diesel,Sedan,80000,Automatic,2,BMW,BMW 3 Series,2008,1995,Third Party insurance,4.0,Others,4.0,In-Line Engine,5,13.2,34.7,1.791759469228055,170.0,0,1,8,0,1,9,5,83,249
Bangalore,Petrol,SUV,30000,Automatic,1,Jeep,Jeep Compass,2021,1368,Third Party insurance,4.0,Others,4.0,1.4L MultiAir Petrol,5,14.1,250.0,3.1986731175506815,160.77,0,4,7,0,11,92,5,83,63
Bangalore,Petrol,SUV,20000,Automatic,1,Kia,Kia Seltos,2020,1353,Third Party insurance,4.0,Others,4.0,Smartstream G1.4,5,16.5,242.0,2.7880929087757464,138.08,0,4,7,0,12,97,5,83,338
Bangalore,Petrol,Hatchback,80000,Manual,3,Hyundai,Hyundai i10,2009,1197,Third Party insurance,4.0,Others,4.0,DOHC Engine,5,20.36,111.8,0.9122827104766164,78.9,0,4,2,1,8,80,5,83,201
Bangalore,Diesel,SUV,30000,Automatic,2,Audi,Audi Q5,2016,1968,Third Party insurance,4.0,Others,4.0,TDI Quattro Engine ,5,14.16,380.0,3.2577118486533987,174.3,0,1,7,0,0,6,5,83,352
Bangalore,Petrol,Hatchback,52204,Manual,1,Maruti,Maruti Alto K10,2017,998,Third Party,3.0,Silver,4.0,K10C,5,24.39,89.0,1.3480731482996928,65.71,0,4,2,1,19,136,4,108,267
Bangalore,Petrol,Hatchback,110000,Manual,3,Hyundai,Hyundai i20,2012,1197,Third Party insurance,4.0,Red,4.0,In-Line Engine,5,17.0,11.4,1.0986122886681098,80.0,0,4,2,1,8,81,5,105,249
Bangalore,Diesel,SUV,89000,Automatic,1,Ford,Ford Endeavour,2017,3198,Third Party insurance,4.0,Black,4.0,Diesel Engine,7,10.91,470.0,3.392829131991639,197.0,0,1,7,0,6,46,5,8,209
Bangalore,Petrol,Hatchback,29813,Manual,2,Maruti,Maruti Alto 800,2014,796,Comprehensive,3.0,Others,4.0,F8D Petrol Engine,5,22.05,69.0,1.0152306797290584,47.33,0,4,2,1,19,135,2,83,222
Bangalore,Petrol,Hatchback,30000,Manual,1,Ford,Ford Figo,2018,1196,Third Party insurance,4.0,Gray,4.0,Ti-VCT Petrol Engine,5,18.16,112.0,1.6094379124341003,86.8,0,4,2,1,6,49,5,53,360
Bangalore,Petrol,Hatchback,13345,Automatic,1,Maruti,Maruti Ignis,2020,1197,Comprehensive,4.0,White,4.0,1.2-Litre VVT Petrol Engine,5,20.89,113.0,1.9878743481543455,81.8,0,4,2,0,19,149,2,129,47
